question,predict_answer,accurate_answer
what do people speak in germany?,Bavarian Language,Bavarian Language
when is the last time the denver broncos won the superbowl?,Super Bowl XXXIII,Super Bowl XXXIII
where was caesar when he was stabbed?,Theatre of Pompey,Theatre of Pompey
what style of music did bessie smith perform?,Blues,Blues
what team did jackie robinson?,Brooklyn Dodgers,Montreal Royals
what time zone is chicago in right now?,Central Time Zone,Central Time Zone
what two countries make up the dominican republic?,Hispaniola,Hispaniola
who was the vice president under ronald reagan?,George H. W. Bush,George H. W. Bush
where do the chicago white sox play home games?,U.S. Cellular Field,U.S. Cellular Field
what part did jeff conaway play in grease?,Kenickie Murdoch,Kenickie Murdoch
what book did benjamin franklin published?,Poor Richard's Almanac of 1739,"A Dissertation on Liberty and Necessity, Pleasure and Pain"
what currency to take to barbados?,Barbadian dollar,Barbadian dollar
where did they get the name stanley cup?,Chicago Blackhawks,"Frederick Stanley, 16th Earl of Derby"
what is the space needle in toronto?,Ashbridges Bay Wastewater Treatment Plant,CN Tower
what is the zip code of syracuse ny?,13207,13207
where did tennessee williams go to college?,Washington University in St. Louis,Washington University in St. Louis
what is the name of airport in new york?,Flushing Airport,Flushing Airport
who was queen victoria's husband?,"Albert, Prince Consort","Albert, Prince Consort"
where did benjamin franklin work?,James Franklin Printing Shop,James Franklin Printing Shop
what does barbara bush do for work?,First Lady,First Lady
who is jacob latimore?,Singer,Singer
what happened to dunkirk during ww2?,Battle of Dunkirk,Battle of Dunkirk
what was scottie pippen good at?,1987,Basketball
who played donna on west wing?,Catherine Tate,Catherine Tate
what are serena williams achievements?,2010 Australian Open,2010 Australian Open
who played meg in season 1 of family guy?,Lacey Chabert,Lacey Chabert
when was the last time the dallas cowboys won the superbowl?,Super Bowl XXX,Super Bowl XXX
what did napoleon bonaparte do as emperor?,"After graduating from military school in 1785, Napoleon became a Second-Lieutenant of Artillery in the regiment of La Fere, garrisoned at Valence, in southern France where he studied military tactics and strategy and the philosophical works of Voltaire and Rousseau.","After graduating from military school in 1785, Napoleon became a Second-Lieutenant of Artillery in the regiment of La Fere, garrisoned at Valence, in southern France where he studied military tactics and strategy and the philosophical works of Voltaire and Rousseau."
where do ireland play rugby union?,Manchester City F.C.,Zarathustra
who killed lee harvey oswald shot?,Jack Ruby,Jack Ruby
when was the last time knicks won the championship?,1973 NBA Finals,1973 NBA Finals
when did celtics win the championship?,1969 NBA Finals,1969 NBA Finals
what countries included in oceania?,Pacific Ocean,Northern Mariana Islands
what country is nicki minaj from?,"Saint James, Trinidad and Tobago",Trinidad and Tobago
who played harry potter dumbledore actor?,Richard Harris,Dane Farwell
who was the prime minister of pakistan in 1999?,Muhammad Zia-ul-Haq,Nawaz Sharif
what movies did christopher plummer play in?,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
what is capital city of morocco?,Rabat,Rabat
what movies is omar epps in?,Juice,Daybreak
what district does nancy pelosi represent?,California’s 5th congressional district,California’s 5th congressional district
where is walton indiana?,Indiana,Indiana
where did george herbert walker bush go to college?,Yale University,Yale University
what did bruce jenner win gold medal for?,Athletics at the 1976 Summer Olympics - Men's Decathlon,Decathlon challenge
where do they speak tibetan?,Nepali Language,Tibet
what to do in hollywood ca this weekend?,Griffith Observatory,Griffith Observatory
who ran against abraham lincoln for president in 1860?,President of the United States,Stephen A. Douglas
where did kim kardashian come from?,Los Angeles,Los Angeles
what town did justin bieber grew up in?,London,London
what is michael kors best known for?,Fashion Designer,Fashion Designer
who plays charlie in the santa clause movies?,Kansas City Athletics,Kansas City Athletics
where does the expression excuse my french come from?,jansegers,English Literature
what was napoleon bonaparte accomplishments?,Battle of Landshut,Battle of Landshut
what highschool did r. kelly attend?,Kenwood Academy,Kenwood Academy
what happened at benghazi?,2012 U.S. diplomatic missions attacks,2012 U.S. diplomatic missions attacks
what country is nike based in?,United States of America,United States of America
what is the percentage of youth in uganda?,Uganda,Uganda
what kind of money do i bring to mexico?,Mexican peso,Mexican peso
who did steve spurrier play pro football for?,San Francisco 49ers,San Francisco 49ers
what is the only colony on the south america continent?,Carrasco,French Guiana
where do the blackhawks play?,United Center,United Center
who plays john connor?,Edward Furlong,Edward Furlong
what is the main language spoken in mexico?,Spanish Language,Spanish Language
what are italians classified as?,Latin European peoples,Latin European peoples
what has angelina jolie accomplished?,Academy Award for Actress in a Supporting Role,"Golden Globe Award for Best Supporting Actress - Series, Miniseries or Television Film"
who played captain kirk in star trek movie?,Jimmy Bennett,William Shatner
who played dana scully in x files?,Gillian Anderson,Gillian Anderson
who was the first governor of colonial south carolina?,Thomas Pinckney,Thomas Pinckney
what was f. scott fitzgerald?,Poet,Poet
what is the dominant language spoken in jamaica?,Jamaican Creole English Language,Jamaican English
who is the coach for the new york knicks?,Mike Woodson,Mike Woodson
who was wesley snipes?,Film Producer,Film Producer
where does sherrod brown live?,Mansfield,Mansfield
what kind of language does colombia speak?,Wiwa language,Wiwa language
what currency does england use now?,North American Eastern Time Zone,UK £
who was the original voice of meg griffin on family guy?,Mila Kunis,Lacey Chabert
what kind of government is mali?,Republic,Semi-presidential system
who did cristiano ronaldo play for in 2010?,Portugal national football team,Real Madrid C.F.
what is the zip code for morgantown wv?,26508,26508
what is jacksonville fl timezone?,North American Eastern Time Zone,North American Eastern Time Zone
who does amy stiller play in dodgeball?,Keno Waitress,Keno Waitress
who were king henry vii children?,"Arthur, Prince of Wales","Arthur, Prince of Wales"
who plays mary jane in the spiderman movies?,Kirsten Dunst,Sara Ballantine
who does mila kunis play on family guy?,Meg Griffin,Meg Griffin
when did the san francisco earthquake occur?,1906 San Francisco earthquake,1906 San Francisco earthquake
who played damien in the omen 2006?,Harvey Stephens,Harvey Stephens
what athlete am i olympics?,Once every two years,The complete book of the Winter Olympics
who played denver in four christmases?,William E. Adams,William E. Adams
what to do with kids in essex?,"Gregory Cromwell, 1st Baron Cromwell","RHS Garden, Hyde Hall"
who did the cleveland cavaliers draft?,Dion Waiters,J. J. Hickson
what concentration camp did anne frank died in?,Bergen-Belsen concentration camp,Bergen-Belsen concentration camp
when did gordon brown resigns?,"7 January, 2007","7 January, 2007"
what language does east timor speak?,Tetun Language,Tetun Language
what is the currency in italy?,Euro,Euro
where does greek language come from?,Indo-European languages,Indo-European languages
what is the name of the currency used in italy?,Euro,Euro
where is audrey hepburn from?,Ixelles,Ixelles
where did the australian floods take place?,Canberra,Queensland
who does darth vaders voice?,David Prowse,James Earl Jones
when is nrl grand final day?,NRL Grand Final,NRL Grand Final
what school did douglas macarthur go to?,TMI — The Episcopal School of Texas,TMI — The Episcopal School of Texas
what famous people are from barbados?,Owen Arthur,Owen Arthur
what is the name of the currency used in china?,Renminbi,Renminbi
what are the names of michael jackson's 3 children?,Paris-Michael Katherine Jackson,Paris-Michael Katherine Jackson
what currency to take to turkey 2010?,Turkish lira,Turkish lira
who is the current governor of arizona 2010?,Jan Brewer,Jan Brewer
when was the most recent earthquake in haiti?,Haiti,2010 Haiti Earthquake
who is lamar odom playing for this year?,Los Angeles Lakers,Los Angeles Clippers
where were the great pyramids of giza built?,Giza Plateau,Giza Plateau
who designed national flag of italy?,Italy,Corriere della Sera
what language do the russian speak?,Yiddish Language,Yiddish Language
what language do australia people speak?,Lojban,Lojban
what country was king tut's tomb found?,Ancient Egypt,Ancient Egypt
where did abraham and his descendants live?,Utrecht,Canaan
where did george washington carver go to collage?,Peanut butter,Tuskegee University
what are the sports in spain?,Spain women's national handball team,Spain women's national handball team
where president obama was born?,Honolulu,Honolulu
what sports do people play in poland?,Poland national football team,Poland national football team
who was demi lovato dating?,Joe Jonas,Joe Jonas
where did tony gonzalez play college basketball?,"University of California, Berkeley","University of California, Berkeley"
what films has scarlett johansson been in?,Girl with a Pearl Earring,Girl with a Pearl Earring
who originally voiced meg on family guy?,Lacey Chabert,Mila Kunis
who played amy squirrel in bad teacher?,Lucy Punch,Lucy Punch
where are boeing headquarters?,Seattle,Seattle
what type of religions are in the united states?,Unitarian Universalism,Unitarian Universalism
who did viggo mortensen play in lord of the rings?,Aragorn,Aragorn
what lands did henry hudson discover?,Hudson River,Hudson Bay
who was isaac newton and what did he do?,Mathematician,Mathematician
who did william shakespeare marry?,Anne Hathaway,Anne Hathaway
what movies queen latifah is in?,Taxi,Taxi
where did michelle obama graduated from?,Harvard Law School,Harvard Law School
what kind of music did franz liszt compose?,La lugubre gondola,Opera
what country does david luiz play for?,Brazil,Brazil
what document did thomas jefferson wrote?,Notes on the State of Virginia,Notes on the State of Virginia
who is martin luther king jr facts?,Preacher,Preacher
where is victoria british columbia?,Canada,Canada
how many mary mary sisters?,Erica Campbell,Erica Campbell
what do we call the currency of france?,French franc,French franc
where do scottish people originate from?,Jamie MacDonald,Celts
what team does david beckham play for in 2012?,Midfielder,LA Galaxy
what movies did nick cannon star in?,A Very School Gyrls Holla-Day,A Very School Gyrls Holla-Day
what radio station is npr on in nyc?,WNYC,WNYC
who did tom landry play for?,Texas Longhorns football,Texas Longhorns football
where was john jay born?,New York City,New York City
where is mount fuji located?,Honshu,Honshu
when is venus brightest?,Western astrology,Western astrology
where was toussaint l'ouverture born?,Haiti,Haiti
what countries makes up the uk?,Wales,Scotland
what is lawton ok zip code?,73502,73502
what is the capital city of spain wiki answers?,Madrid,Madrid
where do they speak german?,German Democratic Republic,Canada
when did mark mcgwire retired?,2001 Major League Baseball season,2001 Major League Baseball season
what is colorado technical university?,Career Education Corporation,Career Education Corporation
what was the currency used in france before the euro?,French franc,French franc
what is kentucky state slogan?,"United we stand, divided we fall","United we stand, divided we fall"
what type of government does russia have 2010?,Constitutional republic,Semi-presidential system
what did elvis presley died from?,Myocardial infarction,Myocardial infarction
who played samantha stephens in bewitched?,Elizabeth Montgomery,Elizabeth Montgomery
what area of science did sir isaac newton study?,Mathematics,Mathematics
what county is san diego in?,San Diego County,San Diego County
which country in north america is divided into provinces?,Northern Hemisphere,Canada
where is the scottish house in skyfall?,Jamie MacDonald,Celts
when does daylight saving end in new zealand 2012?,nz,nz
what is real name of santa claus?,Saint Nicholas,Saint Nicholas
when did kelly slater go pro?,2008 ASP World Tour,2008 ASP World Tour
what did coretta scott king died from?,Respiratory failure,Respiratory failure
what does wh smith stand for?,William Henry Smith,William Henry Smith
what type of drugs did whitney houston?,Cocaine overdose,Cocaine overdose
who was vp for nixon?,Spiro Agnew,Spiro Agnew
what religion did adolf hitler follow?,Catholicism,Catholicism
where is the illinois river on a map?,Illinois,Illinois
where honduras in the world?,Central America,Central America
who do pagans worship?,Odin,Odin
where do i vote milwaukee wisconsin?,United States of America,United States of America
who owns mazda canada?,Ford Motor Company,Ford Motor Company
who does ronaldinho play for now 2011?,Clube de Regatas do Flamengo,Clube de Regatas do Flamengo
what galileo galilei was famous for?,Astronomer,Solar System
what are the major trading partners of germany?,Madagascar,Madagascar
where did romney graduated college?,Cranbrook Schools,Stanford University
who did johnny depp play in corpse bride?,Victor Van Dort,Victor Van Dort
what is the zip code for jonesboro ar?,72404,72404
what college did se hinton go?,University of Tulsa,University of Tulsa
when was taylor swift fearless tour?,Taylor Swift Fearless 2009 Tour,Taylor Swift Fearless 2009 Tour
who was juan ponce de leon family?,Santervás de Campos,Leonor de Guzmán de Silva
where did charles darwin and his wife live?,"Downe, Kent","Downe, Kent"
who is the voice of kitt?,William Daniels,Val Kilmer
what is eminem's real full name?,Dr. Dre,"Marshall Bruce Mathers, Jr."
who is amy grant's first husband?,Vince Gill,Vince Gill
what are the seven nations of central america?,Honduras,Honduras
what is jamie spears baby name?,Bryan Spears,Bryan Spears
what region did the incas live in?,Cusco,Cusco
who did australia fight in the first world war?,Robert Menzies,United Kingdom
what countries does canada have trade agreements with?,Iron Ore Mining,United Kingdom
who is the mother of prince michael jackson?,Katherine Jackson,Katherine Jackson
what is the clemson mascot name?,The Tiger and the Cub,The Tiger and the Cub
which of the following was a contribution thomas hunt morgan made to genetics?,Chromosome,Chromosome
what rainforest is in south america?,Carrasco,Amazon Basin
what type of art does claude monet do?,Impressionism,Impressionism
what country did hitler invaded to start ww2?,Austria,Austria
when did we start war with iraq?,2003 invasion of Iraq,2001
who did taft defeated in 1908?,Theodore Roosevelt,Theodore Roosevelt
what guitar did kurt cobain?,Fender Jag-Stang,Fender Jag-Stang
who did jennifer lawrence play in x men?,Mystique,Mystique
who is the governor of virginia 2011?,Bob McDonnell,Bob McDonnell
who did darth vaders voice?,David Prowse,James Earl Jones
what type of equipment did dorothea lange use?,Photography,Photography
where is walton county ga?,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area"
what cancer did jackie kennedy die of?,Lymphoma,Lymphoma
what does lauren conrad major in?,San Francisco,Fashion design
what time zone is pennsylvania in right now?,UTC-5,UTC-5
where did mario lopez go to school?,Chula Vista High School,Chula Vista High School
where is tupac from originally?,East Harlem,East Harlem
what role did george lucas play in star wars?,Film Director,Film Director
what sarah dessen books are movies?,The Truth About Forever,The Truth About Forever
what is the current time in kauai hawaii?,Hawaii–Aleutian Time Zone,Hawaii–Aleutian Time Zone
what did dmitri mendeleev discover in 1869?,Russia,Periodic Table
where was farrah fawcett buried?,Westwood Village Memorial Park Cemetery,Westwood Village Memorial Park Cemetery
what are the colonies of great britain?,Principality of Wales,British Isles
what inspired steinbeck?,William Faulkner,William Faulkner
what kind of government does cuba have today?,Semi-presidential system,Semi-presidential system
where are english speakers distributed?,Canada,Canada
what was george washington's legacy?,Founding father,Founding father
what is the capital of italy today?,Italian Peninsula,Rome
who was dan white?,Firefighter,Firefighter
what language do people speak in the bahamas?,Bahamas Creole English Language,Bahamas Creole English Language
where did george michael go to school?,Bushey Meads School,Bushey Meads School
what team did jeremy lin go to?,Houston Rockets,Houston Rockets
what club does cristiano ronaldo play for in 2010?,Portugal national football team,Real Madrid C.F.
what time zone is in the bahamas?,UTC-5,UTC-5
where did african american slaves come from?,African people,African people
what language do people speak in brazil?,Brazilian Portuguese,Portuguese Language
who influenced samuel taylor coleridge?,William Wordsworth,William Wordsworth
what does kim kardashian work as?,Entrepreneur,Entrepreneur
where did the mississippi river end?,Gulf of Mexico,Gulf of Mexico
who played carlton lassiter on psych?,Timothy Omundson,Timothy Omundson
what was john deere famous for?,Agricultural machinery,Agricultural machinery
who is president of israel?,Shimon Peres,Shimon Peres
where did the anasazi indians live?,Four Corners,Four Corners
who plays harley quinn?,Arleen Sorkin,Arleen Sorkin
what was francis bacon contributions?,Spy,Scientific method
what percent of people are overweight in the uk?,Greenwich Mean Time,uk
who is ruling libya?,President of the General National Congress of Libya,Mohammed Magariaf
when does ziva start on ncis?,NCIS - Season 3,NCIS - Season 3
what is the name of the national anthem of canada ( 2 words )?,O Canada,O Canada
where are you from in malayalam?,India,India
what did mark zuckerberg study?,Phillips Exeter Academy,Harvard University
which country was michael jackson born?,Gary,United States of America
what countries require travel visas for us citizens?,United States dollar,us
who was stephen r covey?,Management,Management
what country was stalin in charge of?,Soviet Union,Soviet Union
what is monta ellis career high points?,Sidney Lanier High School,NBA Most Improved Player Award
what do the symbols on the nevada flag mean?,All For Our Country,All For Our Country
what nationality is rihanna?,Saint Michael Parish,Barbados
what has shannen doherty played in?,Girls Just Want to Have Fun,Girls Just Want to Have Fun
what college did joakim noah?,University of Florida,University of Florida
when was the last time the red sox won 100 games?,1918 World Series,1912 Major League Baseball Season
who plays billy elliot?,Jamie Bell,Jamie Bell
what team will michael vick play for in 2011?,Philadelphia Eagles,Philadelphia Eagles
what kourtney kardashian boyfriends name?,Scott Disick,Scott Disick
what form of government does australia use?,Parliamentary system,Parliamentary system
what team did howie long?,Villanova Wildcats football,Villanova Wildcats football
where did the greek alphabet come from?,Greek Language,Indo-European languages
what timezone is elizabethtown kentucky?,North American Eastern Time Zone,North American Eastern Time Zone
what to see in christchurch new zealand?,Lincoln,Lincoln
where is chris paul from?,Christopher Emmanuel Paul II,United States of America
what year was albert pujols rookie year?,Los Angeles Angels of Anaheim,2001 Major League Baseball Season
what are the colors of the ny giants?,Blue,Blue
what business did andrew carnegie dominate?,U.S. Steel,U.S. Steel
what was sir isaac newton's inventions?,Reflecting telescope,Reflecting telescope
where to visit in paris with children?,Musée Maillol,Musée Maillol
who did shaq first play for?,1992–93 NBA season,Orlando Magic
who was the artist of mickey mouse?,Wayne Allwine,Ub Iwerks
what is the zip code for concord?,94529,94529
what football team is michael vick on?,Philadelphia Eagles,Philadelphia Eagles
where does the columbia river start?,British Columbia,Columbia Lake
what are all the names of the harry potter books?,Harry Potter and the Philosopher's Stone,Harry Potter and the Half-Blood Prince
what banjo does scott avett play?,Banjo,Banjo
who was sir walter raleigh and what did he do?,Poet,Poet
what countries are in the euro dollar?,Italy,Italy
what currency can you use in barbados?,Barbadian dollar,Barbadian dollar
who is angelina jolie?,Actor,Actor
where is nineveh city?,Iraq,Iraq
what is the state flower of new mexico?,Yucca flower,Yucca flower
where is the national ffa foundation located today?,Indianapolis,Indianapolis
which countries speak germanic languages?,Icelanders,Icelanders
who plays eowyn in lord of the rings?,Miranda Otto,Miranda Otto
what to do in cancun during spring break?,Belize Barrier Reef,Belize Barrier Reef
where is augusta masters 2012?,Augusta National Golf Course,Augusta National Golf Course
what type of cancer did eva peron die from?,Cervical cancer,Cervical cancer
who did terrell owens play for in 2010?,Philadelphia Eagles,Cincinnati Bengals
where is denmark south carolina?,South Carolina,South Carolina
when will the world end mayans?,The End Of Time,2012
what books did ernest hemingway write?,The Sun Also Rises,The Sun Also Rises
what year did baltimore ravens win super bowl?,Super Bowl XLVII,Super Bowl XXXV
where did the battle of passchendaele happen?,Passendale,Passendale
what part of the country is ohio considered?,Midwestern United States,Midwestern United States
what team is cristiano ronaldo play for?,Portugal national football team,Real Madrid C.F.
what standard time is michigan?,Central Time Zone,Central Time Zone
what was john tyler?,President of the United States,President of the United States
what did romo do?,Baseball player,Baseball player
what currency can you use in jamaica?,Jamaican dollar,Jamaican dollar
where did jay moriarty die?,Maldives,Maldives
where was the boston tea party 1773?,Boston Harbor,Boston Harbor
what drugs lindsay lohan abuse?,Cocaine,Cocaine
when did carolina panthers go to superbowl?,2003 NFL season,2003 NFL season
when did the burma cyclone happen?,1999 Odisha cyclone,1999 Odisha cyclone
what is michael kors real name?,Fashion Designer,Karl Anderson
who won the governor election in texas?,Rick Perry,Rick Perry
what does helen flanagan do?,Actor,Actor
when are the summer and winter olympics held?,Once every two years,Once every two years
where is tennessee river?,Tennessee,Tennessee
what are some major events in venezuela?,Machurucuto Incident,Machurucuto Incident
what guitar does corey taylor play?,guitar,guitar
who was president after franklin d. roosevelt?,Harry S. Truman,Harry S. Truman
where did kate gosselin grew up?,Philadelphia,Philadelphia
under what political system does the united states government operate?,Presidential system,Presidential system
which countries in africa were slaves taken from?,Angola,Angola
what to do in paris in 1 day?,Musée Maillol,Musée Maillol
what city is mt lassen in?,Shasta County,Shasta County
where did jennifer arnold go to medical school?,United States of America,United States of America
what is the state motto of ohio?,"With God, all things are possible","With God, all things are possible"
what country do maltese come from?,Region of Malta,Region of Malta
what type of music did mozart composed?,Opera,Opera
what stones albums did mick taylor play on?,A Stone's Throw,A Stone's Throw
how many kids were there in the kennedy family?,"John F. Kennedy, Jr.",Robert F. Kennedy
which barcelona airport is closest to the port?,Barcelona–El Prat Airport,Barcelona–El Prat Airport
where has the english language evolved from?,Latin alphabet,West Germanic languages
what country did hitler invade that started ww2?,Hitler and His Generals: Military Conferences 1942-1945,Hitler Declares War on Poland
what does matt damon play in?,American Teacher,American Teacher
what was scottie pippen known for?,1987,Basketball player
what continent does canada belong to?,North America,North America
what does george wilson do for a living?,American football player,American football player
where did kobe earthquake happen?,Great Hanshin earthquake,Great Hanshin earthquake
what city does fulham play in?,London,London
what are fun things to do in sacramento ca?,Sacramento Zoo,Sacramento Zoo
where is the euphrates and tigris river located on a map?,Turkey,Turkey
what other movies is josh hutcherson in?,Cirque du Freak: The Vampire's Assistant,The Hunger Games
what was hitler the leader of?,German Workers' Party,Nazi Germany
what awards did marilyn monroe won?,Golden Globe Henrietta Award for World Film Favorites,Golden Globe Henrietta Award for World Film Favorites
what kind of government does iran have after 1979?,Islamic republic,Islamic republic
where did harper lee attend high school?,Huntingdon College,Monroe County High School
what college did jrr tolkien go to?,"Exeter College, Oxford","Exeter College, Oxford"
what art did wassily kandinsky do?,Abstract art,Abstract art
who won the league cup in 2002?,Liverpool F.C.,Liverpool F.C.
what was antoni gaudi inspired by?,William Morris,William Morris
in what country do people speak danish?,Denmark,Denmark
who were demeter's siblings?,Zeus,Zeus
where should a family stay in paris?,Hôtel Ritz Paris,Hôtel Ritz Paris
what led to stalin rise in power?,Soviet Union,"In 1912, Lenin, who was forced to flee the country, chose him to serve on the first Central Committee of the Bolshevik party, which had now broken from the Social Democrats."
what was the name of benjamin franklin wife?,Deborah Read,Deborah Read
what the largest city in spain?,Madrid,Madrid
what type of government was utilized in ancient egypt?,House of Representatives,House of Representatives
who has pudge rodriguez played for?,Texas Rangers,Texas Rangers
what is the milwaukee brewers stadium called?,Miller Park,Miller Park
where did the gallipoli war take place?,Gallipoli,Gallipoli
what other movies has tom hardy played in?,Warrior,Warrior
what to visit in atlanta?,Atlanta History Center,Philips Arena
what college did john nash go to?,Princeton University,Carnegie Mellon University
what language do maltese speak?,Maltese Language,Maltese Language
what did thomas edison do for the world?,Inventor,Phonograph
where is shakira from?,Barranquilla,Colombia
what did hayes do?,President of the United States,President of the United States
who played bilbo in the fellowship of the ring?,Norman Bird,Ian Holm
what is the most populated state in united states?,Florida,California
who is my state senator arizona?,John McCain,John McCain
when does the vietnam war end?,Vietnam,1970s
where does the tennessee river go?,Tennessee,Lenoir City
who did tom hanks play in apollo 13?,Jim Lovell,Jim Lovell
what language do they in ghana?,Akan Language,English Language
what is utah's state capitol?,Salt Lake City,Salt Lake City
what all did ben franklin invent?,Poor Richard's Almanac of 1739,Lightning rod
what city in florida has the lowest crime rate?,North American Eastern Time Zone,Melquíades Rafael Martinez
what team does jeremy lin play for 2013?,Houston Rockets,Houston Rockets
what is steve nash nationality?,Canada,Canada
who are the u s senators of pennsylvania?,James Buchanan,James Buchanan
what kind of language does france speak?,Provençal Language,Provençal Language
what degree did martin luther king earn?,Preacher,Bachelor of Divinity
what two states is st louis in?,Missouri,Missouri
when were south australian women given the right to vote?,Queensland,Queensland
what does sarabi?,Physician,Physician
who were wright brothers?,1900 Wright Glider,Orville Wright
what team did peyton manning's dad play for?,Denver Broncos,New Orleans
what school did john henry thompson go to?,Victoria University of Manchester,Victoria University of Manchester
what did jesse owens won?,Associated Press Male Athlete of the Year,Associated Press Male Athlete of the Year
what is the name of the currency used in peru?,Peruvian nuevo sol,Peruvian nuevo sol
who is on the board of facebook?,California,Mark Zuckerberg
what are the four nations of the united kingdom?,Wales,Wales
who is judy garland father?,Francis Avent Gumm,Francis Avent Gumm
what school did robert f kennedy go to?,Bates College,Bates College
what drug killed marilyn monroe?,Barbiturate,Barbiturate
where is the fukushima daiichi nuclear power station?,Japan,Japan
what is los angeles california time zone?,Pacific Time Zone,Pacific Time Zone
what did nicolas cage name his son?,Kal-El Coppola Cage,Kal-El Coppola Cage
what is berkshire hathaway invested in?,MOODY'S CORP Common Stock,MOODY'S CORP Common Stock
what currency should take to mexico?,Mexican peso,Mexican peso
who is the state governor of florida?,Rick Scott,Rick Scott
who was jessica simpson married too?,Nick Lachey,Nick Lachey
what do they speak in scotland?,Scottish English,Scottish English
what did john dalton study?,Chemist,Chemist
what songs do zac brown band sing?,As She's Walking Away,As She's Walking Away
where is glastonbury england?,United Kingdom,United Kingdom
who formed the american federation of labor?,Samuel Gompers,Samuel Gompers
what to visit in denver?,Black American West Museum & Heritage Center,Black American West Museum & Heritage Center
where did thomas hobbes live?,"Westport, Wiltshire","Westport, Wiltshire"
what do unitarian universalist believe?,Nontrinitarianism,Nontrinitarianism
what did john hancock do for the american revolution?,Articles of Confederation,Articles of Confederation
where was john f kennedy when he got shot?,Dallas,Dallas
what type of government does italy have 2011?,Constitutional republic,Parliamentary republic
which state did anne hutchinson found?,Rhode Island,Rhode Island
what province is montreal canada located?,Québec,Québec
where does bronx begin?,Yankee Stadium,Yankee Stadium
who does kellan lutz play in prom night?,Mark Rider,Mark Rider
what did franz liszt do to earn a living?,Priest,Priest
what was nikola tesla known for?,Inventor,Inventor
what is the zip code for princeton nj?,08544,08544
what other countries border argentina?,Brazil,Brazil
what language does people in iceland speak?,Icelandic Language,Icelandic Language
what is the predominant religion in israel?,Judaism,Judaism
who has coached the carolina panthers?,Ron Rivera,George Seifert
what are the eight stages of erikson's theory?,Developmental psychology,Youth and the life cycle
what time zone is toronto gmt?,Ashbridges Bay Wastewater Treatment Plant,North American Eastern Time Zone
what country did toussaint l'ouverture help free?,Haiti,Haiti
what jobs did robert burns have?,Poet,Poet
who won utah attorney general?,Mark Shurtleff,Mark Shurtleff
who is the leader of libya 2011?,President of the General National Congress of Libya,Muammar al-Gaddafi
what the language spoken in indonesia?,Javanese Language,Javanese Language
what is warren g harding most known for?,President of the United States,President of the United States
who coaches the carolina panthers?,Ron Rivera,Ron Rivera
what other countries does south africa share borders with?,Lesotho,Lesotho
who played darth vader at the end of return of the jedi?,David Prowse,James Earl Jones
when was herbert hoover born and died?,8/10/1874,8/10/1874
what movies did joan crawford play in?,Children’s Hospital Los Angeles,Children’s Hospital Los Angeles
what products does the united states export?,Pharmaceutical Preparations,Pharmaceutical Preparations
what did neil armstrong say when he landed on the moon?,"That's one small step for man, one giant leap for mankind.","That's one small step for man, one giant leap for mankind."
what did james polk do before he was president?,Lawyer,United States Naval Academy
what is the kentucky state bird?,"United we stand, divided we fall",Cardinal
who was canadian prime minister in 1993?,Brian Mulroney,Brian Mulroney
which country invented nike?,Athletic Shoes & Apparel,United States of America
what there to do in salt lake city utah?,Salt Lake Golden Eagles,Salt Lake Golden Eagles
what is the state of montana known for?,Helena,"United States Senate elections, 2006"
who will be the red sox next coach?,Nomar Garciaparra,Nomar Garciaparra
who is the current ohio state senator?,Rob Portman,Rob Portman
what are the major languages spoken in the united kingdom?,Scottish Gaelic language,Scottish Gaelic language
what did st. nicholas do in his life?,Bishop,Bishop
what percentage of cases does the us supreme court take?,Hayburn's Case,United States of America
when was christopher columbus first expedition?,Portugal,1492 Conquest of Paradise
what to do in rome october 2012?,Sistine Chapel,Sistine Chapel
what happened to pope john paul ii?,Myocardial infarction,Myocardial infarction
who was ulysses s. grant?,Lieutenant-General,Lieutenant-General
what was franklin pierce famous for?,President of the United States,President of the United States
when was the last time the boston bruins went to the stanley cup?,2011 Stanley Cup Finals,2011 Stanley Cup Finals
who is meredith gray married to in real life?,Dr. Derek Shepherd,Dr. Derek Shepherd
what inspired michelangelo buonarroti?,Lorenzo de' Medici,Lorenzo de' Medici
what does monsanto own?,Agricultural Chemicals,Agricultural Chemicals
who did woody harrelson play on cheers?,Woody Boyd,Woody Boyd
what language do they speak in sweden yahoo?,Yiddish Language,Yiddish Language
what language did they speak in ghana?,Akan Language,Akan Language
what form of government do we have in the philippines?,Republic,Constitutional republic
what colleges did mitt romney attend?,Cranbrook Schools,Stanford University
where is ibrahim afellay from?,Utrecht,Utrecht
who was the secretary of state when andrew jackson was president?,Martin Van Buren,Martin Van Buren
who does ron stoppable's voice?,Will Friedle,Will Friedle
what currency is accepted in new zealand?,New Zealand dollar,New Zealand dollar
what do they think happened to natalee holloway?,Aruba: The Tragic Untold Story of Natalee Holloway and Corruption in Paradise,Aruba: The Tragic Untold Story of Natalee Holloway and Corruption in Paradise
when did pakistan get its independence?,1947,1947
what places are in the west midlands?,Metropolitan Borough of Solihull,Metropolitan Borough of Solihull
what to do with kids in asheville nc?,Asheville Art Museum,Asheville Aces
who is in the american league in baseball?,Chicago White Sox,Chicago White Sox
